ssn,age,education,marital-status,relationship,sex,income
723-72-3723,31.0,HS-grad,Never-married,Not-in-family,,
940-94-0940,31.0,,Never-married,Not-in-family,,>50K
545-54-5545,33.0,11th,Never-married,Not-in-family,Male,
013-01-3013,,HS-grad,Never-married,Not-in-family,,<=50K
039-03-9039,62.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
157-15-7157,23.0,Masters,Never-married,Own-child,Male,<=50K
083-08-3083,44.0,Assoc-acdm,Married-civ-spouse,Husband,,
768-76-8768,31.0,HS-grad,,,Female,<=50K
222-22-2222,,,,Husband,,
725-72-5725,44.0,,Married-civ-spouse,Husband,,>50K
111-11-1111,41.0,Some-college,,Not-in-family,Male,<=50K
460-46-0460,23.0,Some-college,Never-married,,Female,<=50K
996-99-6996,28.0,Assoc-voc,Never-married,Not-in-family,,
660-66-0660,55.0,,,Husband,Male,>50K
585-58-5585,,Masters,Divorced,Unmarried,Female,<=50K
733-73-3733,44.0,,Divorced,Not-in-family,Female,
283-28-3283,34.0,Bachelors,Divorced,Own-child,,<=50K
427-42-7427,23.0,Assoc-voc,,,Female,>50K
478-47-8478,43.0,Bachelors,Widowed,,Male,
869-86-9869,50.0,HS-grad,,Husband,,<=50K
286-28-6286,50.0,HS-grad,,,,<=50K
773-77-3773,35.0,Bachelors,,Unmarried,Female,
238-23-8238,39.0,Bachelors,Married-civ-spouse,Husband,,<=50K
657-65-7657,51.0,,Widowed,Unmarried,,<=50K
631-63-1631,49.0,HS-grad,Married-civ-spouse,Husband,,>50K
959-95-9959,,,Never-married,Own-child,Male,<=50K
548-54-8548,39.0,11th,Married-civ-spouse,Husband,Male,>50K
710-71-0710,30.0,Bachelors,,Husband,Male,<=50K
626-62-6626,22.0,HS-grad,Never-married,,,<=50K
535-53-5535,47.0,Doctorate,Married-civ-spouse,Husband,,>50K
615-61-5615,33.0,,Married-civ-spouse,Husband,Male,>50K
814-81-4814,74.0,Some-college,Widowed,,,
892-89-2892,35.0,HS-grad,Married-civ-spouse,Husband,Male,
577-57-7577,21.0,HS-grad,Never-married,Own-child,Male,<=50K
482-48-2482,55.0,Some-college,Divorced,Unmarried,Female,<=50K
693-69-3693,42.0,Some-college,Never-married,,,<=50K
